brand_id,brand_name,year,n_findings,n_risk,n_high,categories,headline,headline_detail,top_codes,pd_component,rule_component,watch_raw,watch_score
BRD_20220035,제비파스타&리조또,2024,9,7,2,계약·성장·수요·구조,중도 해지가 많습니다,계약 기간을 채우지 못하고 중도 해지한 가맹점이 31개(40.8%)입니다. 만기 종료와 달리 중도 해지는 점주가 손실을 감수하고 나가는 것이라 수익성 악화 신호로 봅니다.,CANCEL_HIGH|STORE_DECLINE|CHURN_EXCEEDS_OPEN,100.0,22.37,122.373,97.4
BRD_20190835,에그셀런트,2024,11,10,4,계약·매출·성장·구조,계약을 끝내는 가맹점이 많습니다,"2024년에 계약이 끝난 가맹점이 13개로, 연초 점포의 38.2%입니다. 패스트푸드 업종 상위 16%에 해당합니다. 업종 중간값은 11.8%입니다.",CONTRACT_END_HIGH|SALES_DECLINE_STREAK|STORE_DECLINE,99.93,28.24,128.172,100.0
BRD_20211154,죽도령,2024,11,9,2,계약·성장·수요·매출·구조,계약을 끝내는 가맹점이 많습니다,"2024년에 계약이 끝난 가맹점이 35개로, 연초 점포의 41.2%입니다. 한식 업종 상위 15%에 해당합니다. 업종 중간값은 4.6%입니다.",CONTRACT_END_HIGH|STORE_DECLINE|CHURN_EXCEEDS_OPEN,99.86,26.65,126.507,99.6
BRD_20211998,연돈튀김덮밥,2024,10,8,2,계약·성장·구조·수요,계약을 끝내는 가맹점이 많습니다,"2024년에 계약이 끝난 가맹점이 18개로, 연초 점포의 36.7%입니다. 분식 업종 상위 14%에 해당합니다. 업종 중간값은 5.3%입니다.",CONTRACT_END_HIGH|STORE_DECLINE|CHURN_EXCEEDS_OPEN,99.79,22.68,122.47,97.6
BRD_20180037,피슈 마라홍탕,2024,8,7,1,성장·계약·수요·구조,가맹점이 줄었습니다,2024년 가맹점이 42개에서 28개로 14개(-33.3%) 줄었습니다. 같은 중식 업종의 중간값은 +0.0%입니다.,STORE_DECLINE|CANCEL_HIGH|CHURN_EXCEEDS_OPEN,99.72,23.76,123.481,98.1
BRD_20211652,윤반장,2024,12,10,3,계약·수요·성장·구조·매출,계약을 끝내는 가맹점이 많습니다,"2024년에 계약이 끝난 가맹점이 40개로, 연초 점포의 61.5%입니다. 한식 업종 상위 7%에 해당합니다. 업종 중간값은 4.6%입니다.",CONTRACT_END_HIGH|DEMAND_DECLINE|STORE_DECLINE,99.65,27.97,127.626,99.9
BRD_20220332,고래맥주창고,2024,9,8,2,계약·성장·수요·매출·구조,계약을 끝내는 가맹점이 많습니다,"2024년에 계약이 끝난 가맹점이 30개로, 연초 점포의 28.8%입니다. 주점 업종 상위 24%에 해당합니다. 업종 중간값은 10.0%입니다.",CONTRACT_END_HIGH|STORE_DECLINE|CHURN_EXCEEDS_OPEN,99.58,26.75,126.334,99.4
BRD_20211147,국밥대장,2024,8,7,3,계약·매출·성장·구조,계약을 끝내는 가맹점이 많습니다,"2024년에 계약이 끝난 가맹점이 14개로, 연초 점포의 42.4%입니다. 한식 업종 상위 15%에 해당합니다. 업종 중간값은 4.6%입니다.",CONTRACT_END_HIGH|SALES_DECLINE|STORE_DECLINE,99.51,26.45,125.965,99.4
BRD_20211100,유캔두잇,2024,11,9,3,계약·성장·수요·구조·매출,중도 해지가 많습니다,계약 기간을 채우지 못하고 중도 해지한 가맹점이 10개(12.2%)입니다. 만기 종료와 달리 중도 해지는 점주가 손실을 감수하고 나가는 것이라 수익성 악화 신호로 봅니다.,CANCEL_HIGH|CONTRACT_END_HIGH|STORE_DECLINE,99.45,27.51,126.956,99.7
BRD_20213039,풍덕천 두꺼비집,2024,9,8,1,계약·수요·구조·성장,계약을 끝내는 가맹점이 많습니다,"2024년에 계약이 끝난 가맹점이 10개로, 연초 점포의 32.3%입니다. 주점 업종 상위 22%에 해당합니다. 업종 중간값은 10.0%입니다.",CONTRACT_END_HIGH|CHURN_EXCEEDS_OPEN|DEMAND_DECLINE,99.38,24.89,124.262,98.8
